epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.3937,1.03932,2.90331,1.36281,0.53266,0.39181,0.39113,0.27769,1.06792,2.42058,1.38953,0.00330645,0.00330645,0.00330645
2,148.776,1.01382,1.86424,1.31465,0.36118,0.32691,0.25481,0.15156,1.43653,2.48654,1.79912,0.00657405,0.00657405,0.00657405
3,219.628,1.07191,1.69663,1.36001,0.23505,0.17944,0.09407,0.05158,1.74225,3.40912,2.2258,0.00977565,0.00977565,0.00977565
4,290.079,1.13533,1.66631,1.41907,0.21871,0.15354,0.0754,0.03354,1.86441,3.41657,2.35454,0.009703,0.009703,0.009703
5,360.612,1.11189,1.49017,1.38767,0.22138,0.20827,0.07797,0.03933,1.75643,4.72459,2.13218,0.009604,0.009604,0.009604
6,432.186,1.07909,1.40273,1.36927,0.47745,0.33487,0.32801,0.20052,1.4716,2.48473,1.84456,0.009505,0.009505,0.009505
7,503.827,1.04926,1.31995,1.34833,0.66935,0.51083,0.56259,0.40354,1.11396,1.41358,1.44288,0.009406,0.009406,0.009406
8,574.046,1.03194,1.26512,1.33218,0.6404,0.489,0.5136,0.35947,1.15837,1.4937,1.48057,0.009307,0.009307,0.009307
9,644.74,1.0128,1.23255,1.32262,0.54038,0.41174,0.4289,0.28053,1.30307,1.795,1.61437,0.009208,0.009208,0.009208
10,716.472,1.00175,1.18226,1.31532,0.66434,0.51009,0.5674,0.4156,1.0855,1.38704,1.39241,0.009109,0.009109,0.009109
11,787.499,0.98906,1.14576,1.30153,0.5553,0.42793,0.44581,0.30376,1.23608,1.75717,1.52176,0.00901,0.00901,0.00901
12,857.7,0.97757,1.12242,1.29356,0.7173,0.54997,0.61804,0.45045,1.0779,1.23277,1.39228,0.008911,0.008911,0.008911
13,928.752,0.96249,1.09293,1.28207,0.72401,0.55894,0.63452,0.4749,1.03671,1.1457,1.35204,0.008812,0.008812,0.008812
14,999.634,0.95177,1.0701,1.27646,0.77886,0.58838,0.67058,0.50921,0.99324,1.0818,1.33233,0.008713,0.008713,0.008713
15,1071.35,0.94419,1.04252,1.26814,0.79754,0.54569,0.6435,0.48563,1.00972,1.14949,1.34754,0.008614,0.008614,0.008614
16,1142.15,0.94504,1.04077,1.26997,0.74461,0.5689,0.65713,0.48839,1.01445,1.12731,1.32754,0.008515,0.008515,0.008515
17,1212.69,0.9407,1.02083,1.26426,0.70082,0.567,0.63201,0.46736,1.00873,1.20328,1.33203,0.008416,0.008416,0.008416
18,1284.49,0.93191,1.01276,1.25701,0.69715,0.55516,0.61529,0.45666,1.01252,1.2067,1.32449,0.008317,0.008317,0.008317
19,1354.84,0.92226,0.98238,1.25245,0.75085,0.58012,0.65392,0.50049,0.99808,1.125,1.31169,0.008218,0.008218,0.008218
20,1426.11,0.90454,0.96889,1.23898,0.80328,0.63121,0.72103,0.55587,0.92761,0.92655,1.27287,0.008119,0.008119,0.008119
21,1496.75,0.92029,0.97188,1.25025,0.7377,0.56412,0.63545,0.48268,1.00483,1.17612,1.36506,0.00802,0.00802,0.00802
22,1567.3,0.90518,0.96174,1.2444,0.79233,0.61489,0.7103,0.55151,0.91644,0.95626,1.25328,0.007921,0.007921,0.007921
23,1637.59,0.89237,0.94698,1.23218,0.8013,0.63499,0.72593,0.56443,0.91551,0.91707,1.2485,0.007822,0.007822,0.007822
24,1708.28,0.89952,0.93787,1.23507,0.78334,0.63246,0.72902,0.56094,0.91878,0.92999,1.25564,0.007723,0.007723,0.007723
25,1777.95,0.8941,0.92818,1.23261,0.79838,0.60613,0.7081,0.55053,0.91676,0.93709,1.25163,0.007624,0.007624,0.007624
26,1848.82,0.89651,0.91698,1.23183,0.80772,0.61943,0.718,0.55924,0.92242,0.91689,1.25676,0.007525,0.007525,0.007525
27,1918.05,0.8799,0.90057,1.21991,0.79536,0.61574,0.70697,0.55071,0.93093,1.00138,1.26261,0.007426,0.007426,0.007426
